ID,Date,# of words in the review,Rating (1-5 stars),Review,,
1,10/10/20,1,5, help!,,
2,10/10/20,1,5, addicting!,,
3,10/10/20,1,5, fish.,,
4,10/10/20,1,5, bucks,,
5,10/10/20,1,5, fun.,,
6,10/10/20,1,5, addictive!,,
7,10/10/20,1,5, cute =),,
8,10/10/20,1,5, addicting!,,
9,10/10/20,1,5, enjoy!,,
10,10/10/20,1,5, help!!!,,
11,10/10/20,1,5, great!,,
12,10/10/20,1,5, cool!,,
13,10/10/20,1,5, =) lollollollollollollollollollollollollollollollollollol,,
14,10/10/20,1,5, fun!,,
15,10/10/20,1,5, thanks!!,,
16,10/10/20,1,5, awsome!,,
17,10/10/20,1,5, peeps,,
18,10/10/20,1,5, crazy!!,,
19,10/10/20,1,5, lol,,
20,10/10/20,1,5, beware.,,
21,10/10/20,1,5, enjoyable,,
22,10/10/20,1,5, love.,,
23,10/10/20,1,5, enjoyment.,,
24,10/10/20,1,5, addicting.,,
25,10/10/20,1,5, fantastic..,,
26,10/10/20,1,5, freakyj.,,
27,10/10/20,1,5, gr8 app!,,
28,10/10/20,1,5, awesome.,,
29,10/10/20,1,5, excellent!!!,,
30,10/10/20,1,5, great!,,
31,10/10/20,1,5, addictive.,,
32,10/10/20,1,5, 100% fun,,
33,10/10/20,1,5, woooo!,,
34,10/10/20,1,5, realistic,,
35,10/10/20,1,5, kudos!,,
36,10/10/20,1,5, awesome!!!!,,
37,10/10/20,1,5, awsome.,,
38,10/10/20,1,5, xd,,
39,10/10/20,1,5, more.,,
40,10/10/20,1,4, trophies.,,
41,10/10/20,1,4, thanks.,,
42,10/10/20,1,4, ~lela,,
43,10/10/20,1,4, htc,,
44,10/10/20,1,4, help!!!,,
45,10/10/20,1,4, bleh.,,
46,10/10/20,1,4, addictive.,,
47,10/10/20,1,4, sucs!,,
48,10/10/20,1,4, addicting.,,
49,10/10/20,1,1, bull.,,
50,10/10/20,1,1, foreclose.,,
51,10/10/20,1,1, goodbye.,,
52,10/10/20,1,1, goodbye.,,
53,10/10/20,1,1, greedy!,,
54,10/10/20,1,1, rubish!!!!!!!!!!!!!!!!,,
55,10/10/20,1,1, wtf,,
56,10/10/20,1,1, disappointed!,,
57,10/10/20,1,1, rating: -75%,,
58,10/10/20,1,1, greedy!,,
59,10/10/20,1,1, gay!,,
60,10/10/20,1,3, frustrating!,,
61,10/10/20,1,3, wow.,,
62,10/10/20,1,3, uninstalled.,,
63,10/10/20,1,3, uninstalled.,,
64,10/10/20,1,3, uninstalled,,
65,10/10/20,1,3, help!!!,,
66,10/10/20,1,2, slowest.,,
67,10/10/20,1,2, game.,,
68,10/10/20,1,2, jeeze!,,
69,10/10/20,1,2, disappointing.,,
70,10/10/20,2,5, great game,,
71,10/10/20,2,5, love it!,,
72,10/10/20,2,5, cool game,,
73,10/10/20,2,5, great fun,,
74,10/10/20,2,5, awesome game!!,,
75,10/10/20,2,5, awesome game!!!!,,
76,10/10/20,2,5, love it,,
77,10/10/20,2,5, enjoy playing.,,
78,10/10/20,2,5, great great,,
79,10/10/20,2,5, tap fish,,
80,10/10/20,2,5, what happened????,,
81,10/10/20,2,5, great app.,,
82,10/10/20,2,5, very entertaining.,,
