ID,Date,# of words in the review,Rating (1-5 stars),Review,Sentiment,Type of feedback
2993,10/10/20,21,1,i enjoy playing tap fish a lot & just to let everyone know...this company promptly fixes issues & has excellent customer service!!!!,POSITIVE,general praise
2930,10/10/20,19,1,go ahead have fun trying to make some money to buy stuff that you must have to move forward.,POSITIVE,general complaint
2929,10/10/20,19,1,go ahead have fun trying to make some money to buy stuff that you must have to move forward.,POSITIVE,general complaint
2967,10/10/20,20,1,.....u would b able to log in and pick up right where u left off....this option would be great!,POSITIVE,feature request
3062,10/10/20,25,1,this game would fun if you didn't have to use your own money to buy fish bucks to get the really cool features/items.,POSITIVE,user experience
2968,10/10/20,20,1,i love this game but till you can get more christmas events and fish for coins you are getting 1 star,POSITIVE,feature request
2753,10/10/20,15,2,please fix i cant fo the quests st all and i really lije this gamr,POSITIVE,bug report
2821,10/10/20,17,2,i'd give it above 2 stars if it had more achievements that didn't require blowing money.,POSITIVE,feature request
2897,10/10/20,18,2,it starts you off with simple goals then every achievement after that requires you to buy fish bucks.,POSITIVE,general complaint
2750,10/10/20,15,2,nevertheless the game still deserves 2 stars because i still get to see my fish grow!!,POSITIVE,user experience
3133,10/10/20,36,2,its a awesome game but i have downloaded a couple things and did surveys on some and it wont give me my fish bucks fix this and i will give the game a 5 star rating again,POSITIVE,bug report
2855,10/10/20,17,3,freezes but its good for kids that you dont want to buy a real fish for lol,POSITIVE,general praise
2800,10/10/20,16,3,ok game i like it i had bigger ones b4 i deleted game cant get it back,POSITIVE,feature request
2742,10/10/20,15,3,i prefer fish live but this is a pretty good game i am enjoying it,POSITIVE,general praise
2854,10/10/20,17,3,i never got compensation for what i had lost but i guess that's how it goes.,POSITIVE,general complaint
2970,10/10/20,20,3,really addictive i think this game is great i have 3 fish tank my son has tanks on his phone also,POSITIVE,general praise
2857,10/10/20,17,3,i really enjoy breeding and collecting fish very easy to use my daughter enjoy it as well,POSITIVE,general praise
3038,10/10/20,23,3,its an ok game...would be better if everything didnt cost so much and its nearly impossible to earn fish bucks or coins :(,POSITIVE,feature request
3121,10/10/20,32,3,love the game love the fish pretty good tech support just wish you didn't need fish bucks to complete missions or just make the fish like 1 or 2 fish bucks rather than 20+.,POSITIVE,feature request
2972,10/10/20,20,3,once you get 100k in coins it's easy to earn more coins quickly with things like mummy/box and cardinals.,POSITIVE,user experience
2738,10/10/20,15,3,this app is really good to see what type of breeds of fish their are.,POSITIVE,general praise
3142,10/10/20,43,3,it happens almost everytime i use the store.i've lost coins and bonuses multiple times.please fix the force close issues and i will definatly rate 5 stars.i think this game would be as close to perfect as you can get then.,POSITIVE,bug report
2969,10/10/20,20,3,any time i try to do anything other than feed and love my fish it force closes every dingle time!,POSITIVE,bug report
2934,10/10/20,19,3,still force closing and tell me how to get rid of the remaining bubble fish from the bubble event.,POSITIVE,bug report
2880,10/10/20,18,4,not much to do once the fish have been fed the tank is cleaned and everyone is happy.,POSITIVE,user experience
2722,10/10/20,15,4,i love fish in general but i love the challenge of a game even better.,POSITIVE,general praise
2845,10/10/20,17,4,this game is really fun exept the part when everything is slow or it takes too long:-\,POSITIVE,user experience
3036,10/10/20,23,4,good and fun but if u acedentally press something for sail it makes u buy it but is totaly free and not glitchy,POSITIVE,general praise
2921,10/10/20,19,4,if you like fish you'll love it... if you don't... well guess you wouldn't be here(:,POSITIVE,general praise
3059,10/10/20,25,4,it's a fun game that kills time the only problem is that you can't change what kind of fish you want to breed,POSITIVE,feature request
3006,10/10/20,22,4,i recommend you install this game but one problem it uses to much of my time other than that it's great.,POSITIVE,general praise
3057,10/10/20,25,4,it is very good because you can understand how to take care of fish from this game but the prices of everything is to high,POSITIVE,general praise
2725,10/10/20,15,4,love this app i just wish there was an easier way to .earn fish bucks,POSITIVE,general praise
2846,10/10/20,17,4,its lags a little and some of the fish cost alot but overall its a good game,POSITIVE,general praise
2715,10/10/20,15,4,if you are willing to earn or buy them it is an awesome game though.,POSITIVE,general praise
2788,10/10/20,16,4,everything in the game has a price and a lot of those prices are extremely high.,POSITIVE,general complaint
2716,10/10/20,15,4,i had to reinstall this game so i lost everything but i still love it.,POSITIVE,general praise
3032,10/10/20,23,4,i don't normally like these games but i am really enjoying this one - playing with my mum and love raiding her tanks!,POSITIVE,general praise
2714,10/10/20,15,4,you will not regret installing this app because once you do you will get addicted!,POSITIVE,general praise
2790,10/10/20,16,4,only play the game couple times but it's just like the facebook fish tank game,POSITIVE,general praise
2919,10/10/20,19,4,it's like taking care of real fish but when these die you can revive them back to life.,POSITIVE,general praise
2724,10/10/20,15,4,u can breed some very beautiful fishes the beautiful they are the higher they cost.,POSITIVE,general praise
3005,10/10/20,22,4,the last update took away some pretty cool fish that u can only get if u download the tapfish exotic to get.,POSITIVE,user experience
3069,10/10/20,26,4,i want to be able to earn more bucks for free and actually get without having to email the ppl who trouble shoot for the game.,POSITIVE,feature request
2723,10/10/20,15,4,love this app i just wish there was an easier way to .earn fish bucks,POSITIVE,general praise
3003,10/10/20,22,4,id give it 5 stars if you could buy more fish bucks using just fish coins other than that its a good game.,POSITIVE,feature request
2764,10/10/20,16,5,i luv this game and i think everyone should install it because it is really fun!!!!!!!,POSITIVE,general praise
3025,10/10/20,23,5,really fun game...i play together with my 9 year old and we have so much fun showing each other what we have done...5 *****,POSITIVE,general praise
3077,10/10/20,27,5,tao fish is so fun its like real live fish please play you dont have to feed them every day maby like once or twice a day,POSITIVE,general praise
2828,10/10/20,17,5,i love this game because you make new breed of fish get a whole lot of money,POSITIVE,general praise
2950,10/10/20,20,5,i love this game i love being able to take care and breed beautiful fishes it is soo much fun,POSITIVE,general praise
2951,10/10/20,20,5,one of the most exciting games i have found that keeps my interest even when i am not actually playing.,POSITIVE,general praise
2871,10/10/20,18,5,i had this game five times.even though it takes up alot of space it is really fun,POSITIVE,general praise
3093,10/10/20,29,5,since it's debut in 2010 they continue to add new fish & adventures that make each day a delight & a nice escape from the worries of my own poor health.,POSITIVE,user experience
2955,10/10/20,20,5,so far i am really having a good time with this game and my kids also love it as well!,POSITIVE,general praise
2688,10/10/20,15,5,best game for kids to learn how to take care of they'er fish pets,POSITIVE,general praise
3068,10/10/20,26,5,its pretty much like taking care of real fish except you need to look after the fishes you buy like two to three times a day.,POSITIVE,general praise
2911,10/10/20,19,5,love the upgrades that have been made so much better than the original awsome game i enjoy playing it,POSITIVE,general praise
2910,10/10/20,19,5,i started this on my kindle and loved it so much that i now havs it on my phone :),POSITIVE,general praise
3154,10/10/20,60,5,i love this app i just wish i could make more money on it and i didnt have to pay for stuff i want and it force closes on me a lot but i love all the cool fish and enjoy playing it would be much better if the problems were fixed then id give it a 10 if i could,POSITIVE,feature request
2837,10/10/20,17,5,my grandkids play this all the time they love it and they are learning to be responsible.,POSITIVE,general praise
2775,10/10/20,16,5,i love this game just with that some of the exotic fish weren't so exspensive,POSITIVE,general praise
2762,10/10/20,16,5,so exciting to see new fish we can buy when we earn our coins and fishbucks.,POSITIVE,general praise
3136,10/10/20,38,5,i love this game it is very interesting and it is fun it is like having your own fish and being able to take care of them and there are fish that you would never think of it,POSITIVE,general praise
2767,10/10/20,16,5,i have 5 fish tanks at home and i guess i really like fish u can say.,POSITIVE,general praise
3055,10/10/20,25,5,it is very good because you can understand how to take care of fish from this game but the prices of everything is to high,POSITIVE,general praise
