ID,Date,# of words in the review,Rating (1-5 stars),Review
2976,10/10/20,21,5, the best game i've ever played five stars best and ur dumb if u given tap 1 star 2 stars and 3 stars
2966,10/10/20,20,1, you spend money on the game when you don't get your dollars to play with on your fish tanks.
2717,10/10/20,15,4, seems like it will take forever to get fishbucks without having to use real bucks.
3082,10/10/20,27,1, hello i have a galaxy note 2 and i think the fishes are extremely little cannot even see them like on fish live and my phone is big.
3115,10/10/20,32,5, it's addicting i love it except when u upgrade to a new phone u lose all your data n memory.n wish u make tapfjsh season n taplets like the iphone
3047,10/10/20,24,1, it said i had an event so i waited and waited for 3 says for the event and it expired 2 minutes before it even started!
3032,10/10/20,23,4, i don't normally like these games but i am really enjoying this one - playing with my mum and love raiding her tanks!
2749,10/10/20,15,3, oops...didn't realize when i downloaded that it would be such an addictive game.
2933,10/10/20,19,3, it would be best to assign missions to accomplish where we can earn fishbucks/coins after completing a mission.
2714,10/10/20,15,4, you will not regret installing this app because once you do you will get addicted!
3084,10/10/20,27,3, if u didn't have to buy fish bucks &cud earn more the game wud be 10x's better cuz 75% of the fish & things are bucks not coins
2842,10/10/20,17,4, the only thing that is bad about this game is the fish bucks to hard to get
2851,10/10/20,17,1, also fish are so much smaller on my new galaxys3 than they were on my smaller old phone.
3009,10/10/20,22,4, only reason i don't give it a full 5 stars is that i don't like having to pay for virtual items
2869,10/10/20,18,5, just wish there were more opportunities to earn fishbucks in game beside buying and breeding hordes of fish.
2990,10/10/20,21,4, i'm doing trophies because i can't always afford to by them but they take quite a bit of time.
3055,10/10/20,25,5, it is very good because you can understand how to take care of fish from this game but the prices of everything is to high
3011,10/10/20,22,4, love this game but i cant open any of my neignblr tanks keeps sayi.g cant open server or someghing like that
2730,10/10/20,15,1, miss a day or two and you hve to pay them money or start over?
2887,10/10/20,18,1, now when i try to breed it won't allow me to even breed what i do have
2775,10/10/20,16,5, i love this game just with that some of the exotic fish weren't so exspensive
2986,10/10/20,21,4, this is an absolutely fun game but the missions completely striped me from my fish bucks and i am so dissopinted.
2992,10/10/20,21,4, every time i buy a fish i try to press the tool pad and it responds by buying more fish instead.
3107,10/10/20,31,5, i love the christmas octopus still please do a croc like the octopus do the breeding fish to get it please but still don't get rid of the submarine event
2975,10/10/20,20,2, the forcing close problem is really getting frustrating and i'm still upset that it costed me over 3 million coins!
3066,10/10/20,26,5, just wish some of the buttons were easier to click like the home gets aggravating clicking forever till it finally reads it because is so small
3134,10/10/20,37,1, i dont know wats wrong it kicks me out of the game then when i reopen it the screen is blue and i see a lock in the top right corner idk wats wrong but i unistalled...
3140,10/10/20,42,3, i love this game but i have had to upgrade to a newer version 2 times now and have had to start all over again both times and i was close to level ten this last time and at level 13 the first time.
2687,10/10/20,15,5, had to come back and give another review especially when your action was so quick!
2750,10/10/20,15,2, nevertheless the game still deserves 2 stars because i still get to see my fish grow!!
2793,10/10/20,16,1, however i would like my fish and items earned and purchased from my prior phone..please.
2995,10/10/20,21,3, you cant do some of the challenges because it cost fish bucks and not just a few a lot of em
2927,10/10/20,19,1, at least consider trading coins for fish bucka so everyone can enjoy the full extent of the (free) game .
2890,10/10/20,18,1, it's so stupid it always is force closing and when i click on things it' so slow!!!!
2745,10/10/20,15,3, i would go back in and wasn't able to touch anything on the tank.
3137,10/10/20,38,1, tap fish love tap fish (revised 12-8) used to love now bored almost every challenge or event costs bucks i have spent enough to to have a few new xbox games and the bloodsuckers want more no more 5 stars
3060,10/10/20,25,4, your update has taking most of my fish off my game and it won't let me bread anymore you best sort the job out!!
